country,measurement_period,website,website_rank,cdn_provider,cdn_jurisdiction,as_number,ip_address,source,extraction_date
BN,202405,NULL,NULL,akamai,US,10094,NULL,lccrawresults,2024-05-31
BN,202405,NULL,NULL,akamai,US,10101,NULL,lccrawresults,2024-05-31
BN,202405,NULL,NULL,cloudflare,US,10094,NULL,lccrawresults,2024-05-31
BN,202405,NULL,NULL,cloudfront,US,10094,NULL,lccrawresults,2024-05-31
BN,202405,NULL,NULL,facebook,US,10094,NULL,lccrawresults,2024-05-31
BN,202405,NULL,NULL,fastly,US,10094,NULL,lccrawresults,2024-05-31
BN,202406,NULL,NULL,akamai,US,10094,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,akamai,US,10101,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,alibaba,China,10094,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,alibaba,China,10101,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,amazon,US,10094,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,amazon,US,10101,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,cdn77,UK,10094,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,cdn77,UK,10101,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,cloudflare,US,10094,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,cloudflare,US,10101,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,facebook,US,10094,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,facebook,US,10101,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,fastly,US,10094,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,fastly,US,10101,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,microsoft,US,10094,NULL,lccrawresults,2024-06-21
BN,202406,NULL,NULL,microsoft,US,10101,NULL,lccrawresults,2024-06-21
BN,202407,NULL,NULL,akamai,US,10101,NULL,lccrawresults,2024-07-26
BN,202407,NULL,NULL,microsoft,US,10101,NULL,lccrawresults,2024-07-26
BN,202408,NULL,NULL,akamai,US,10101,NULL,lccrawresults,2024-08-06
BN,202408,NULL,NULL,akamai,US,10101,NULL,lccrawresults,2024-08-16
BN,202408,NULL,NULL,alibaba,China,10094,NULL,lccrawresults,2024-08-06
BN,202408,NULL,NULL,alibaba,China,10101,NULL,lccrawresults,2024-08-16
BN,202408,NULL,NULL,amazon,US,10094,NULL,lccrawresults,2024-08-06
BN,202408,NULL,NULL,amazon,US,10101,NULL,lccrawresults,2024-08-16
BN,202408,NULL,NULL,cloudflare,US,10094,NULL,lccrawresults,2024-08-06
BN,202408,NULL,NULL,cloudflare,US,10101,NULL,lccrawresults,2024-08-16
BN,202408,NULL,NULL,facebook,US,10094,NULL,lccrawresults,2024-08-06
BN,202408,NULL,NULL,facebook,US,10101,NULL,lccrawresults,2024-08-16
BN,202408,NULL,NULL,fastly,US,10094,NULL,lccrawresults,2024-08-06
BN,202408,NULL,NULL,fastly,US,10101,NULL,lccrawresults,2024-08-16
BN,202408,NULL,NULL,microsoft,US,10101,NULL,lccrawresults,2024-08-06
BN,202408,NULL,NULL,microsoft,US,10101,NULL,lccrawresults,2024-08-16
BN,202409,NULL,NULL,akamai,US,10101,NULL,lccrawresults,2024-09-17
BN,202409,NULL,NULL,akamai,US,10101,NULL,lccrawresults,2024-09-16
BN,202409,NULL,NULL,alibaba,China,10101,NULL,lccrawresults,2024-09-17
BN,202409,NULL,NULL,alibaba,China,10101,NULL,lccrawresults,2024-09-16
BN,202409,NULL,NULL,amazon,US,10101,NULL,lccrawresults,2024-09-17
BN,202409,NULL,NULL,amazon,US,10101,NULL,lccrawresults,2024-09-16
BN,202409,NULL,NULL,cloudflare,US,10101,NULL,lccrawresults,2024-09-17
BN,202409,NULL,NULL,cloudflare,US,10101,NULL,lccrawresults,2024-09-16
BN,202409,NULL,NULL,facebook,US,10101,NULL,lccrawresults,2024-09-17
BN,202409,NULL,NULL,facebook,US,10101,NULL,lccrawresults,2024-09-16
BN,202409,NULL,NULL,fastly,US,10101,NULL,lccrawresults,2024-09-17
BN,202409,NULL,NULL,fastly,US,10101,NULL,lccrawresults,2024-09-16
BN,202409,NULL,NULL,microsoft,US,10101,NULL,lccrawresults,2024-09-17
BN,202409,NULL,NULL,microsoft,US,10101,NULL,lccrawresults,2024-09-16
BN,202410,NULL,NULL,akamai,US,10101,NULL,lccrawresults,2024-10-17
BN,202410,NULL,NULL,alibaba,China,10101,NULL,lccrawresults,2024-10-17
BN,202410,NULL,NULL,amazon,US,10101,NULL,lccrawresults,2024-10-17
BN,202410,NULL,NULL,cloudflare,US,10101,NULL,lccrawresults,2024-10-17
BN,202410,NULL,NULL,facebook,US,10101,NULL,lccrawresults,2024-10-17
BN,202410,NULL,NULL,fastly,US,10101,NULL,lccrawresults,2024-10-17
BN,202410,NULL,NULL,microsoft,US,10101,NULL,lccrawresults,2024-10-17
BN,202411,NULL,NULL,akamai,US,10101,NULL,lccrawresults,2024-11-17
BN,202411,NULL,NULL,alibaba,China,10101,NULL,lccrawresults,2024-11-17
BN,202411,NULL,NULL,amazon,US,10101,NULL,lccrawresults,2024-11-17
BN,202411,NULL,NULL,bunnycdn,Slovenia,10101,NULL,lccrawresults,2024-11-17
BN,202411,NULL,NULL,cloudflare,US,10101,NULL,lccrawresults,2024-11-17
BN,202411,NULL,NULL,facebook,US,10101,NULL,lccrawresults,2024-11-17
BN,202411,NULL,NULL,fastly,US,10101,NULL,lccrawresults,2024-11-17
BN,202411,NULL,NULL,microsoft,US,10101,NULL,lccrawresults,2024-11-17
BN,202412,NULL,NULL,akamai,US,10101,NULL,lccrawresults,2024-12-18
BN,202412,NULL,NULL,alibaba,China,10101,NULL,lccrawresults,2024-12-18
BN,202412,NULL,NULL,amazon,US,10101,NULL,lccrawresults,2024-12-18
BN,202412,NULL,NULL,bunnycdn,Slovenia,10101,NULL,lccrawresults,2024-12-18
BN,202412,NULL,NULL,cloudflare,US,10101,NULL,lccrawresults,2024-12-18
BN,202412,NULL,NULL,facebook,US,10101,NULL,lccrawresults,2024-12-18
BN,202412,NULL,NULL,fastly,US,10101,NULL,lccrawresults,2024-12-18
BN,202412,NULL,NULL,gcore,Luxembourg,10101,NULL,lccrawresults,2024-12-18
BN,202412,NULL,NULL,microsoft,US,10101,NULL,lccrawresults,2024-12-18
BN,202501,NULL,NULL,akamai,US,10101,NULL,lccrawresults,2025-01-17
BN,202501,NULL,NULL,alibaba,China,10101,NULL,lccrawresults,2025-01-17
BN,202501,NULL,NULL,amazon,US,10101,NULL,lccrawresults,2025-01-17
BN,202501,NULL,NULL,cloudflare,US,10101,NULL,lccrawresults,2025-01-17
BN,202501,NULL,NULL,facebook,US,10101,NULL,lccrawresults,2025-01-17
BN,202501,NULL,NULL,fastly,US,10101,NULL,lccrawresults,2025-01-17
BN,202501,NULL,NULL,gcore,Luxembourg,10101,NULL,lccrawresults,2025-01-17
BN,202501,NULL,NULL,microsoft,US,10101,NULL,lccrawresults,2025-01-17
BN,202502,NULL,NULL,akamai,US,10094,NULL,lccrawresults,2025-02-17
BN,202502,NULL,NULL,alibaba,China,10094,NULL,lccrawresults,2025-02-17
BN,202502,NULL,NULL,amazon,US,10094,NULL,lccrawresults,2025-02-17
BN,202502,NULL,NULL,cloudflare,US,10094,NULL,lccrawresults,2025-02-17
BN,202502,NULL,NULL,facebook,US,10094,NULL,lccrawresults,2025-02-17
BN,202502,NULL,NULL,fastly,US,10094,NULL,lccrawresults,2025-02-17
BN,202502,NULL,NULL,gcore,Luxembourg,10094,NULL,lccrawresults,2025-02-17
BN,202502,NULL,NULL,microsoft,US,10094,NULL,lccrawresults,2025-02-17
BN,202503,NULL,NULL,akamai,US,10094,NULL,lccrawresults,2025-03-17
BN,202503,NULL,NULL,alibaba,China,10094,NULL,lccrawresults,2025-03-17
BN,202503,NULL,NULL,amazon,US,10094,NULL,lccrawresults,2025-03-17
BN,202503,NULL,NULL,cloudflare,US,10094,NULL,lccrawresults,2025-03-17
BN,202503,NULL,NULL,facebook,US,10094,NULL,lccrawresults,2025-03-17
BN,202503,NULL,NULL,fastly,US,10094,NULL,lccrawresults,2025-03-17
BN,202503,NULL,NULL,microsoft,US,10094,NULL,lccrawresults,2025-03-17
BN,202504,NULL,NULL,akamai,US,10094,NULL,lccrawresults,2025-04-17
BN,202504,NULL,NULL,alibaba,China,10094,NULL,lccrawresults,2025-04-17
