date,test_cc,host_cdn,local_websites,external_websites,test_asn,hosting_cc,
30/05/2024,US,fastly,97,0,7922,US,
30/05/2024,US,fastly,97,0,6167,US,
30/05/2024,US,fastly,97,0,21928,US,
30/05/2024,US,fastly,97,0,701,US,
30/05/2024,US,fastly,97,0,20115,US,
30/05/2024,US,fastly,97,0,22773,US,
30/05/2024,US,fastly,97,0,10796,US,
30/05/2024,US,fastly,97,0,209,US,
30/05/2024,US,fastly,97,0,33363,US,
30/05/2024,US,fastly,97,0,5650,US,
30/05/2024,US,fastly,97,0,11426,US,
30/05/2024,US,fastly,97,0,20001,US,
30/05/2024,US,fastly,97,0,6128,US,
30/05/2024,US,fastly,97,0,11427,US,
30/05/2024,US,fastly,97,0,20057,US,
30/05/2024,US,cloudflare,269,0,7922,US,
30/05/2024,US,cloudflare,269,0,7018,US,
30/05/2024,US,cloudflare,269,0,6167,US,
30/05/2024,US,cloudflare,269,0,21928,US,
30/05/2024,US,cloudflare,269,0,701,US,
30/05/2024,US,cloudflare,269,0,20115,US,
30/05/2024,US,cloudflare,269,0,22773,US,
30/05/2024,US,cloudflare,269,0,10796,US,
30/05/2024,US,cloudflare,269,0,209,US,
30/05/2024,US,cloudflare,269,0,33363,US,
30/05/2024,US,cloudflare,269,0,5650,US,
30/05/2024,US,cloudflare,269,0,11426,US,
30/05/2024,US,cloudflare,269,0,11351,US,
30/05/2024,US,cloudflare,269,0,20001,US,
30/05/2024,US,cloudflare,269,0,6128,US,
30/05/2024,US,cloudflare,269,0,11427,US,
30/05/2024,US,cloudflare,269,0,20057,US,
30/05/2024,US,akamai,201,0,7922,US,
30/05/2024,US,akamai,201,0,7018,US,
30/05/2024,US,akamai,201,0,6167,US,
30/05/2024,US,akamai,201,0,21928,US,
30/05/2024,US,akamai,201,0,701,US,
30/05/2024,US,akamai,201,0,20115,US,
30/05/2024,US,akamai,201,0,22773,US,
30/05/2024,US,akamai,201,0,10796,US,
30/05/2024,US,akamai,201,0,209,US,
30/05/2024,US,akamai,201,0,33363,US,
30/05/2024,US,akamai,201,0,5650,US,
30/05/2024,US,akamai,201,0,11426,US,
30/05/2024,US,akamai,201,0,11351,US,
30/05/2024,US,akamai,201,0,20001,US,
30/05/2024,US,akamai,201,0,6128,US,
30/05/2024,US,akamai,201,0,11427,US,
30/05/2024,US,akamai,201,0,20057,US,
30/05/2024,US,cloudfront,96,0,7922,US,
30/05/2024,US,cloudfront,96,0,7018,US,
30/05/2024,US,cloudfront,96,0,6167,US,
30/05/2024,US,cloudfront,96,0,21928,US,
30/05/2024,US,cloudfront,96,0,701,US,
30/05/2024,US,cloudfront,96,0,20115,US,
30/05/2024,US,cloudfront,96,0,22773,US,
30/05/2024,US,cloudfront,96,0,10796,US,
30/05/2024,US,cloudfront,96,0,209,US,
30/05/2024,US,cloudfront,96,0,33363,US,
30/05/2024,US,cloudfront,96,0,11426,US,
30/05/2024,US,cloudfront,96,0,11351,US,
30/05/2024,US,cloudfront,96,0,20001,US,
30/05/2024,US,cloudfront,96,0,6128,US,
30/05/2024,US,cloudfront,96,0,11427,US,
30/05/2024,US,cloudfront,96,0,20057,US,
30/05/2024,US,facebook,7,0,7922,US,
30/05/2024,US,facebook,7,0,7018,US,
30/05/2024,US,facebook,7,0,6167,US,
30/05/2024,US,facebook,7,0,21928,US,
30/05/2024,US,facebook,7,0,701,US,
30/05/2024,US,facebook,7,0,20115,US,
30/05/2024,US,facebook,7,0,22773,US,
30/05/2024,US,facebook,7,0,10796,US,
30/05/2024,US,facebook,7,0,209,US,
30/05/2024,US,facebook,7,0,33363,US,
30/05/2024,US,facebook,7,0,5650,US,
30/05/2024,US,facebook,7,0,11426,US,
30/05/2024,US,facebook,7,0,11351,US,
30/05/2024,US,facebook,7,0,20001,US,
30/05/2024,US,facebook,7,0,6128,US,
30/05/2024,US,facebook,7,0,11427,US,
30/05/2024,US,facebook,7,0,20057,US,
30/05/2024,IL,cloudflare,396,0,12400,IL,
30/05/2024,IL,cloudflare,396,0,1680,IL,
30/05/2024,IL,cloudflare,396,0,6810,DE,
30/05/2024,IL,cloudflare,396,0,12849,IL,
30/05/2024,IL,cloudflare,396,0,16116,IL,
30/05/2024,IL,cloudflare,396,0,8551,IL,
30/05/2024,IL,cloudflare,396,0,21450,IL,
30/05/2024,IL,fastly,0,21,12400,DE,
30/05/2024,IL,fastly,0,21,1680,FR,
30/05/2024,IL,fastly,0,21,6810,FR,
30/05/2024,IL,fastly,0,21,12849,DE,
30/05/2024,IL,fastly,0,21,16116,FR,
30/05/2024,IL,fastly,0,21,8551,FR,
30/05/2024,IL,fastly,0,21,21450,DE,
30/05/2024,IL,cloudfront,0,66,12400,DE,
30/05/2024,IL,cloudfront,0,66,1680,DK,
30/05/2024,IL,cloudfront,0,66,6810,BE,
30/05/2024,IL,cloudfront,0,66,12849,DE,
30/05/2024,IL,cloudfront,0,66,16116,HR,
30/05/2024,IL,cloudfront,0,66,8551,ES,
30/05/2024,IL,cloudfront,0,66,21450,NL,
30/05/2024,IL,akamai,70,0,12400,IL,
30/05/2024,IL,akamai,70,0,1680,IL,
30/05/2024,IL,akamai,70,0,6810,IL,
30/05/2024,IL,akamai,70,0,12849,IL,
30/05/2024,IL,akamai,70,0,16116,IL,
30/05/2024,IL,akamai,70,0,8551,IL,
30/05/2024,IL,akamai,70,0,21450,IL,
