country,year,projects,amount,type
Brunei,2023,,,investment
Brunei,2023,,,construction
Brunei,2024,,,investment
Brunei,2024,,,construction
Brunei,2025,,,investment
Brunei,2025,,,construction
Cambodia,2023,,,investment
Cambodia,2023,1,170,construction
Cambodia,2024,,,investment
Cambodia,2024,,,construction
Cambodia,2025,,,investment
Cambodia,2025,,,construction
Indonesia,2023,1,130,investment
Indonesia,2023,,,construction
Indonesia,2024,,,investment
Indonesia,2024,,,construction
Indonesia,2025,1,100,investment
Indonesia,2025,,,construction
Laos,2023,,,investment
Laos,2023,,,construction
Laos,2024,,,investment
Laos,2024,,,construction
Laos,2025,,,investment
Laos,2025,,,construction
Malaysia,2023,1,320,investment
Malaysia,2023,1,100,construction
Malaysia,2024,1,100,investment
Malaysia,2024,1,100,construction
Malaysia,2025,,,investment
Malaysia,2025,,,construction
Myanmar,2023,,,investment
Myanmar,2023,,,construction
Myanmar,2024,,,investment
Myanmar,2024,,,construction
Myanmar,2025,,,investment
Myanmar,2025,,,construction
Philippines,2023,,,investment
Philippines,2023,,,construction
Philippines,2024,,,investment
Philippines,2024,,,construction
Philippines,2025,,,investment
Philippines,2025,,,construction
Singapore,2023,1,270,investment
Singapore,2023,,,construction
Singapore,2024,,,investment
Singapore,2024,,,construction
Singapore,2025,,,investment
Singapore,2025,,,construction
Thailand,2023,3,330,investment
Thailand,2023,,,construction
Thailand,2024,3,1110,investment
Thailand,2024,,,construction
Thailand,2025,3,1120,investment
Thailand,2025,,,construction
Vietnam,2023,1,150,investment
Vietnam,2023,,,construction
Vietnam,2024,1,260,investment
Vietnam,2024,,,construction
Vietnam,2025,,,investment
Vietnam,2025,,,construction
