#,CDN Provider,Company Website,Documentation Checked,Actual Legal Name,Data Source,Jurisdiction,OpenCorporate Result
1,CloudFlare,https://www.cloudflare.com/website-terms/,Terms of Use (Cloudflare Website and Online Services Terms of Use),"Cloudflare, Inc.",nedko; ISOC,US,https://opencorporates.com/companies?utf8=%E2%9C%93&utf8=%E2%9C%93&q=Cloudflare%2C+Inc.&jurisdiction_code=&type=companies
2,Netlify,https://www.netlify.com/legal/terms-of-use/,Website Terms of Use,"Netlify, Inc.",nedko,US,https://opencorporates.com/companies?utf8=%E2%9C%93&q=Netlify%2C+Inc.&commit=Go&jurisdiction_code=&utf8=%E2%9C%93&type=companies&controller=searches&action=search_companies&order=
3,Amazon CloudFront,https://aws.amazon.com/agreement/,AWS Customer Agreement,"Amazon Web Services, Inc. (default contracting entity; regional entities exist, e.g. Amazon Web Services Australia Pty Ltd)",nedko; ISOC,US,https://opencorporates.com/companies?commit=Go&jurisdiction_code=&order=&page=2&q=Amazon+Web+Services%2C+Inc.&type=companies&utf8=%E2%9C%93
4,Fastly,https://www.fastly.com/terms/,Terms of Service,"Fastly, Inc.",nedko; ISOC,US,https://opencorporates.com/companies?utf8=%E2%9C%93&q=Fastly%2C+Inc.&commit=Go&jurisdiction_code=&commit=Go&type=companies&utf8=%E2%9C%93&controller=searches&action=search_companies&order=
5,Imperva,https://www.imperva.com/legal/website-terms-of-use/,Website Terms of Use,"Imperva, Inc.",nedko,US,https://opencorporates.com/companies?utf8=%E2%9C%93&q=Imperva%2C+Inc.&commit=Go&jurisdiction_code=&utf8=%E2%9C%93&commit=Go&type=companies&controller=searches&action=search_companies&order=
6,CDN77,https://www.cdn77.com/terms-and-conditions,Terms and Conditions,DataCamp Limited,nedko; ISOC,UK,https://opencorporates.com/companies?utf8=%E2%9C%93&q=DataCamp+Limited&commit=Go&jurisdiction_code=&utf8=%E2%9C%93&commit=Go&type=companies&controller=searches&action=search_companies&order=
7,Akamai,https://www.akamai.com/legal,Legal,"Akamai Technologies, Inc.",nedko; ISOC,US,https://opencorporates.com/companies?commit=Go&jurisdiction_code=&order=&page=1&q=Akamai+Technologies%2C+Inc.&type=companies&utf8=%E2%9C%93
8,Alibaba Cloud CDN,https://www.alibabacloud.com/help/en/legal/latest/alibaba-cloud-international-website-membership-agreement,International Website Membership Agreement,"Alibaba Cloud (Singapore) Private Limited (default international contracting entity; regional entities listed incl. Alibaba Cloud (Europe) Limited, Alibaba (Netherlands) B.V., Alibaba Cloud US LLC, Alibaba Cloud (India) LLP, Alibaba Cloud (Malaysia) Sdn. Bhd.)",nedko,Singapore,https://opencorporates.com/companies?utf8=%E2%9C%93&q=Alibaba+Cloud+%28Singapore%29+Private+Limited&commit=Go&jurisdiction_code=&commit=Go&type=companies&utf8=%E2%9C%93&controller=searches&action=search_companies&order=
8,Alibaba Cloud CDN,https://www.sec.gov/Archives/edgar/data/1577552/000095017025090161/baba-ex8_1.htm,sec.gov documentation ,Alibaba Group Holding Limited (note: Alibaba Cloud (Singapore) Private Limited is a subsidiary of Alibaba Group Holding),nedko,,
9,Azure CDN,https://www.microsoft.com/en-us/legal/terms-of-use,Terms of Use,Microsoft Corporation,nedko,US,https://opencorporates.com/companies?commit=Go&jurisdiction_code=&order=&page=2&q=Microsoft+Corporation&type=companies&utf8=%E2%9C%93
10,BunnyCDN,https://bunny.net/tos/,Terms of Service (entity stated in DMCA notice section),"BunnyWay d.o.o. (Dunajska cesta 165, 1000 Ljubljana, Slovenia)",nedko; ISOC,Slovenia,https://opencorporates.com/companies?q=BunnyWay+d.o.o.&utf8=%E2%9C%93
11,Google Cloud CDN,https://cloud.google.com/terms/google-entity,Google Contracting Entity,"e.g., Google LLC (United States and any location not otherwise covered); Google Asia Pacific Pte. Ltd. (Asia-Pacific incl. Southeast Asia)",nedko,US,https://opencorporates.com/companies?commit=Go&jurisdiction_code=&order=&page=3&q=Google+LLC&utf8=%E2%9C%93
11,Google Cloud CDN,https://opencorporates.com/companies?commit=Go&jurisdiction_code=&order=&page=3&q=Google+LLC&utf8=%E2%9C%93,OpenCorporates,Alphabet Inc. (Google LLC is controlled by Alphabet Inc.),nedko,US,https://opencorporates.com/companies/us_de/5786925
12,Vercel,https://vercel.com/legal/terms,Terms of Service,Vercel Inc.,nedko,US,https://opencorporates.com/companies?utf8=%E2%9C%93&q=Vercel+Inc.&commit=Go&jurisdiction_code=&commit=Go&utf8=%E2%9C%93&controller=searches&action=search_companies&order=
13,Tencent Cloud CDN,https://www.tencentcloud.com/document/product/301/9248,Terms of Service,"e.g., Tencent Cloud International Pte. Ltd. (Singapore; rest-of-world contracting entity); regional entities: Tencent Cloud Europe B.V. (EEA/UK/CH), Tencent Cloud LLC (North America, Delaware), Tencent Korea Yuhan Hoesa (South Korea), Tencent Cloud Computing (Beijing) Co., Ltd. (PRC region)",nedko,Singapore,https://opencorporates.com/companies?utf8=%E2%9C%93&q=Tencent+Cloud+International+Pte.+Ltd.&commit=Go&jurisdiction_code=&utf8=%E2%9C%93&commit=Go&controller=searches&action=search_companies&order=
14,Sucuri,https://sucuri.net/terms/,Terms of Service,"GoDaddy Media Temple, Inc. d/b/a Sucuri, a subsidiary of GoDaddy Operating Company, LLC",nedko,US,https://opencorporates.com/companies?commit=Go&jurisdiction_code=&order=&page=1&q=GoDaddy+Media+Temple%2C+Inc&utf8=%E2%9C%93
15,SiteGround CDN,https://world.siteground.com/viewtos/legal_notice?scid=2&lang=en,Legal Notice,"SiteGround Hosting Ltd. (England and Wales, Company Registration Number 09348602, VAT GB223072547)",nedko,UK,https://opencorporates.com/companies?utf8=%E2%9C%93&q=SiteGround+Hosting+Ltd.&commit=Go&jurisdiction_code=&commit=Go&utf8=%E2%9C%93&controller=searches&action=search_companies&order=
16,facebook,https://www.facebook.com/terms.php,Meta Terms of Service,"Meta Platforms, Inc.",ISOC,US,https://opencorporates.com/companies?commit=Go&jurisdiction_code=&order=&page=1&q=Meta+Platforms%2C+Inc.&utf8=%E2%9C%93
17,gcore,https://gcore.com/legal,Master Services Agreement,"G-Core Labs S.A. (Luxembourg; registered office 2-4, rue Edmond Reuter, L-5326 Contern, Luxembourg)",ISOC,Luxembourg,https://opencorporates.com/companies?utf8=%E2%9C%93&q=G-Core+Labs+S.A.&commit=Go&jurisdiction_code=&commit=Go&utf8=%E2%9C%93&controller=searches&action=search_companies&order=
18,netflix,https://help.netflix.com/legal/corpinfo,Corporate Information,"Netflix Pte. Ltd. (Singapore, Registration ID No. 201531197W)",ISOC,Singapore,https://opencorporates.com/companies?utf8=%E2%9C%93&q=Netflix+Pte.+Ltd.&commit=Go&jurisdiction_code=&utf8=%E2%9C%93&commit=Go&controller=searches&action=search_companies&order=
18,neflix,https://help.netflix.com/en/node/24852,Help Center,"Netflix, Inc.",ISOC,US,https://opencorporates.com/companies?utf8=%E2%9C%93&q=Netflix%2C+Inc.&commit=Go&jurisdiction_code=&utf8=%E2%9C%93&commit=Go&controller=searches&action=search_companies&order=
19,edgio,https://www.akamai.com/newsroom/press-release/akamai-completes-acquisition-of-select-assets-of-edgio,Press Release,"Akamai Technologies, Inc. (NASDAQ: AKAM); Akamai has acquired select assets from Edgio, including certain customer contracts from our content delivery, applications, and security businesses",ISOC,US,https://opencorporates.com/companies?utf8=%E2%9C%93&q=Akamai+Technologies%2C+Inc.&commit=Go&jurisdiction_code=&utf8=%E2%9C%93&commit=Go&controller=searches&action=search_companies&order=
20,wordpress,https://wordpress.com/tos/,Terms of Service,Automattic Inc. (users outside Designated Countries); Aut O'Mattic A8C Ireland Ltd. (users in Designated Countries),ISOC,US,https://opencorporates.com/companies?utf8=%E2%9C%93&q=Automattic+Inc.&commit=Go&jurisdiction_code=&utf8=%E2%9C%93&commit=Go&controller=searches&action=search_companies&order=
